sample_ID;Name;WELL;Volume;Dilution;BACTERIA;NA
rupos.male.2.1_A8;rupos.male.2.1;A8;5.0;1.0;;
rupos.male.2.1_A9;rupos.male.2.1;A9;5.0;1.0;30;0
rupos.male.2.1_A10;rupos.male.2.1;A10;5.0;1.0;;
rupos.male.2.1_A11;rupos.male.2.1;A11;5.0;1.0;;
rupos.male.2.1_A12;rupos.male.2.1;A12;5.0;1.0;;
rupos.male.2.1_B1;rupos.male.2.1;B1;5.0;10.0;;
rupos.male.2.1_B2;rupos.male.2.1;B2;5.0;10.0;;
rupos.male.2.1_B3;rupos.male.2.1;B3;5.0;10.0;;
rupos.male.2.1_B4;rupos.male.2.1;B4;5.0;10.0;;
rupos.male.2.1_B5;rupos.male.2.1;B5;5.0;10.0;;
rupos.male.2.1_B6;rupos.male.2.1;B6;5.0;10.0;;
rupos.male.2.1_B7;rupos.male.2.1;B7;5.0;10.0;;
rupos.male.2.1_B8;rupos.male.2.1;B8;5.0;10.0;;
rupos.male.2.1_B9;rupos.male.2.1;B9;5.0;10.0;6;0
rupos.male.2.1_B10;rupos.male.2.1;B10;5.0;10.0;36;0
rupos.male.2.1_B11;rupos.male.2.1;B11;5.0;10.0;;
rupos.male.2.1_B12;rupos.male.2.1;B12;5.0;10.0;;
rupos.male.2.1_C1;rupos.male.2.1;C1;5.0;100.0;;
rupos.male.2.1_C2;rupos.male.2.1;C2;5.0;100.0;;
rupos.male.2.1_C3;rupos.male.2.1;C3;5.0;100.0;;
rupos.male.2.1_C4;rupos.male.2.1;C4;5.0;100.0;;
rupos.male.2.1_C5;rupos.male.2.1;C5;5.0;100.0;;
rupos.male.2.1_C6;rupos.male.2.1;C6;5.0;100.0;;
rupos.male.2.1_C7;rupos.male.2.1;C7;5.0;100.0;;
rupos.male.2.1_C8;rupos.male.2.1;C8;5.0;100.0;;
rupos.male.2.1_C9;rupos.male.2.1;C9;5.0;100.0;2;0
rupos.male.2.1_C10;rupos.male.2.1;C10;5.0;100.0;3;0
rupos.male.2.1_C11;rupos.male.2.1;C11;5.0;100.0;;
rupos.male.2.1_C12;rupos.male.2.1;C12;5.0;100.0;;
rupos.male.2.1_D1;rupos.male.2.1;D1;5.0;1000.0;;
rupos.male.2.1_D2;rupos.male.2.1;D2;5.0;1000.0;;
rupos.male.2.1_D3;rupos.male.2.1;D3;5.0;1000.0;;
rupos.male.2.1_D4;rupos.male.2.1;D4;5.0;1000.0;;
rupos.male.2.1_D5;rupos.male.2.1;D5;5.0;1000.0;;
rupos.male.2.1_D6;rupos.male.2.1;D6;5.0;1000.0;;
rupos.male.2.1_D7;rupos.male.2.1;D7;5.0;1000.0;;
rupos.male.2.1_D8;rupos.male.2.1;D8;5.0;1000.0;;
rupos.male.2.1_D9;rupos.male.2.1;D9;5.0;1000.0;1;0
rupos.male.2.1_D10;rupos.male.2.1;D10;5.0;1000.0;Inf;0
rupos.male.2.1_D11;rupos.male.2.1;D11;5.0;1000.0;;
rupos.male.2.1_D12;rupos.male.2.1;D12;5.0;1000.0;;
rupos.male.2.1_E1;rupos.male.2.1;E1;5.0;10000.0;;
rupos.male.2.1_E2;rupos.male.2.1;E2;5.0;10000.0;;
rupos.male.2.1_E3;rupos.male.2.1;E3;5.0;10000.0;;
rupos.male.2.1_E4;rupos.male.2.1;E4;5.0;10000.0;;
rupos.male.2.1_E5;rupos.male.2.1;E5;5.0;10000.0;;
rupos.male.2.1_E6;rupos.male.2.1;E6;5.0;10000.0;;
rupos.male.2.1_E7;rupos.male.2.1;E7;5.0;10000.0;;
